doi,title,abstract,label_included
https://doi.org/10.1056/nejmoa1112072,Tofacitinib or Adalimumab versus Placebo in Rheumatoid Arthritis,"Tofacitinib (CP-690,550) is a novel oral Janus kinase inhibitor that is being investigated for the treatment of rheumatoid arthritis.In this 12-month, phase 3 trial, 717 patients who were receiving stable doses of methotrexate were randomly assigned to 5 mg of tofacitinib twice daily, 10 mg of tofacitinib twice daily, 40 mg of adalimumab once every 2 weeks, or placebo. At month 3, patients in the placebo group who did not have a 20% reduction from baseline in the number of swollen and tender joints were switched in a blinded fashion to either 5 mg or 10 mg of tofacitinib twice daily; at month 6, all patients still receiving placebo were switched to tofacitinib in a blinded fashion. The three primary outcome measures were a 20% improvement at month 6 in the American College of Rheumatology scale (ACR 20); the change from baseline to month 3 in the score on the Health Assessment Questionnaire-Disability Index (HAQ-DI) (which ranges from 0 to 3, with higher scores indicating greater disability); and the percentage of patients at month 6 who had a Disease Activity Score for 28-joint counts based on the erythrocyte sedimentation rate (DAS28-4[ESR]) of less than 2.6 (with scores ranging from 0 to 9.4 and higher scores indicating greater disease activity).At month 6, ACR 20 response rates were higher among patients receiving 5 mg or 10 mg of tofacitinib (51.5% and 52.6%, respectively) and among those receiving adalimumab (47.2%) than among those receiving placebo (28.3%) (P<0.001 for all comparisons). There were also greater reductions in the HAQ-DI score at month 3 and higher percentages of patients with a DAS28-4(ESR) below 2.6 at month 6 in the active-treatment groups than in the placebo group. Adverse events occurred more frequently with tofacitinib than with placebo, and pulmonary tuberculosis developed in two patients in the 10-mg tofacitinib group. Tofacitinib was associated with an increase in both low-density and high-density lipoprotein cholesterol levels and with reductions in neutrophil counts.In patients with rheumatoid arthritis receiving background methotrexate, tofacitinib was significantly superior to placebo and was numerically similar to adalimumab in efficacy. (Funded by Pfizer; ORAL Standard ClinicalTrials.gov number, NCT00853385.).",1
https://doi.org/10.1093/rheumatology/keu477,Determinants of reaching drug-free remission in patients with early rheumatoid or undifferentiated arthritis after one year of remission-steered treatment,"The aim of this study was to assess whether baseline characteristics in patients with undifferentiated arthritis or early RA affect the possibility of achieving drug-free remission after 1 year (DFR1 year) of early remission induction therapy.We included 375 patients participating in the IMPROVED study who achieved remission (DAS < 1.6) after 4 months (early remission) and were by protocol able to achieve DFR1 year. Having started with MTX plus prednisone, patients tapered prednisone to zero; after 8 months, those still in remission tapered MTX to zero, while those not in remission restarted prednisone. Characteristics of patients achieving and not achieving DFR1 year were compared. Logistic regression was performed to identify predictors of DFR1 year.After 1 year, 119 patients (32%) were in DFR. Presence of RF, fulfilling the 2010 criteria for RA, and a low tender joint count were associated with achieving DFR1 year, whereas presence of ACPA was not. None of the baseline characteristics was independently associated with DFR1 year. DFR1 year was sustained for 4 months in 65% of the patients. ACPA-positive patients less often had sustained DFR than ACPA-negative patients (58% vs 80%, P = 0.013).After 1 year of remission-steered treatment, 32% of the patients who had achieved early remission after 4 months were able to taper medication and achieved DFR. Neither the presence of ACPA nor any other baseline characteristics were independently associated with achieving DFR1 year, but in ACPA-positive patients DFR was less often sustained.",0
https://doi.org/10.1186/ar2984,Infections requiring hospitalization in the abatacept clinical development program: an epidemiological assessment,"Patients with rheumatoid arthritis (RA) have an increased risk of infection and this risk appears to be higher with anti-TNF (tumor necrosis factor) agents. We pooled data from the cumulative abatacept RA clinical development program, both double-blind and open-label periods, to estimate the incidence rates (IRs) of infections requiring hospitalization including pneumonia and opportunistic infections, in comparison with RA patients treated with non-biologic disease-modifying antirheumatic drugs (DMARDs) from several reference cohorts.Infections reported in seven abatacept clinical trials of RA patients (double-blind and open-label periods) were tabulated. Comparisons were made between the observed IRs in abatacept-treated patients and those in over 133,000 patients exposed to non-biologic DMARDs in six reference RA cohorts. Age- and sex-adjusted IRs of infections requiring hospitalization, including pneumonia (most frequent hospital infection), were used to estimate the expected IRs with abatacept by the method of indirect adjustment. Standardized incidence ratios (SIR) and 95% CI were calculated comparing incidence in the cumulative abatacept experience with incidence in each RA cohort.A total of 1,955 (double-blind period) and 4,134 (double-blind + open-label periods with a cumulative exposure of 8,392 person-years) abatacept-treated RA patients were analyzed. Observed IRs for infections requiring hospitalization during the double-blind period were 3.05 per 100-patient years for abatacept-treated patients and 2.15 per 100 patient years for placebo. In the cumulative population, observed IR for infections requiring hospitalization was 2.72 per 100-patient years. Rates for abatacept were similar to expected IRs based on other RA non-biologic DMARD cohorts.IRs of infections requiring hospitalization and pneumonia in abatacept trials are consistent with expected IRs based on reference RA DMARD cohorts. RA patients are at higher risk of infection compared with the general population, making the RA DMARD cohorts an appropriate reference group. The safety of abatacept, including incidence of infections requiring hospitalization, will continue to be monitored in a post-marketing surveillance program.",0
https://doi.org/10.1002/art.21573,Risk genotypes in folate-dependent enzymes and their association with methotrexate-related side effects in rheumatoid arthritis,"Methotrexate (MTX) is an antifolate agent that is often associated with toxicity. This study investigated whether risk genotypes for folate-dependent enzymes are associated with the toxicity of MTX in patients with rheumatoid arthritis (RA).Blood was collected for analysis in a muticenter, cross-sectional study of RA patients who had been receiving MTX for at least 1 month prior to enrollment, and side effects occurring at the time of a single study visit were recorded. Low-penetrance risk genotypes in methylenetetrahydrofolate reductase (MTHFR) 677TT, thymidylate synthase (TSER) *2/*2 (variable number of tandem repeats), amino imidazole ribonucleotide transformylase (ATIC) 347GG, and serine hydroxymethyltransferase (SHMT1) 1420CC were measured and summed to constitute the toxicogenetic index specific to each patient. Statistical analyses consisted of logistic regression models with clustered-center effects, and associations with risk genotypes were expressed as adjusted odds ratios (ORs).Among 214 patients enrolled at 4 study sites, a total of 67 patients (31%) presented with a side effect (gastrointestinal event, headache, lethargy, alopecia, cough, or dyspnea). Risk genotypes associated with side effects in the central nervous system were MTHFR 677TT (OR 3.3, P < 0.01) and SHMT1 1420CC (OR 2.4, P < 0.05). ATIC 347GG was associated with gastrointestinal side effects (OR 3.0, P < 0.01), while TSER*2/*2 (OR 5.4, P < 0.01) and SHMT1 1420CC (OR 3.2, P < 0.01) were associated with alopecia. The toxicogenetic index ranged from 0 to 3 (median 1). An index of 3 was associated with an approximately 7-fold higher likelihood of having a side effect compared with an index of 0 (P < 0.01).These data suggest that a composite index of the cumulative risk genotypes in folate-dependent enzymes may be an effective means of profiling RA patients who develop side effects to MTX.",0
,Lymphoma in a patient with rheumatoid arthritis receiving methotrexate treatment: successful treatment with rituximab.,"A 55 year old man with chronic lymphocytic leukaemia (CLL) and rheumatoid arthritis (RA), treated for four years with methotrexate (MTX), who developed a B cell non-Hodgkin's lymphoma (B-NHL), is described. The tumour was localised to the shoulder and axillary lymph nodes, and positive for Epstein-Barr viral antigens. After failure of radiation and chemotherapy, a complete remission was achieved with a combination of antibody treatment (rituximab) and EPOCH. The development of a second malignancy in a patient with RA receiving MTX has not been described before. The summation of T cell deficiencies induced by MTX, CLL, and RA may all have contributed to the development of the B-NHL.",0
https://doi.org/10.1016/j.vaccine.2010.12.072,The cellular immune response to influenza vaccination is preserved in rheumatoid arthritis patients treated with rituximab,"Yearly vaccination against influenza is currently recommended to patients with rheumatoid Arthritis (RA). Antibody and cell-mediated responses are both involved in the defense against influenza. Humoral responses to influenza vaccine are impaired in RA patients treated with rituximab (RTX). The objectives of this study were to comparatively assess cell mediated and humoral responses to influenza vaccination in RA patients with or without RTX-induced CD20 B-cell depletion.Trivalent influenza subunit vaccine was administered to 46 RA patients and to 16 healthy controls. The RA group included 29 patients treated by RTX and 17 on conventional disease-modifying anti-rheumatic drugs (DMARDs), mostly methotrexate. Peripheral blood mononuclear cells and sera were obtained immediately before and 4-6 weeks after vaccination. Cell-mediated response to influenza antigens was evaluated by flow cytometry for activated CD4 T-cells. Humoral response was evaluated by haemagglutination inhibition assay.Cellular response: Cell-mediated responses were comparable in RTX-treated vs. DMARDs-treated patients. The recall postvaccination CD4+ cellular response was similar in RA patients and healthy controls. A positive correlation was found between CD19+ cell count on the day of vaccination and cellular response in RTX-treated RA patients. Humoral response: The antibody response rate was significantly impaired in the RTX group: being 26.4%, 68.4% and 47.1% in RTX-treated, DMARDs-treated and controls, respectively.Cellular immunity to influenza vaccination in RTX-treated patients was similar to DMARDs-treated patients and healthy controls, while humoral immunity was severely impaired. The preservation of cellular immunity may explain the relatively low rate of infection among B-cell depleted patients.",0
,Reduction of inflammatory biomarker response by abatacept in treatment of rheumatoid arthritis.,"Abatacept, a soluble selective costimulation modulator, selectively modulates T cell activation via the CD80/CD86:CD28 costimulation pathway. Data from a Phase II trial showed efficacy in patients with active rheumatoid arthritis (RA) and inadequate response to methotrexate when treated with abatacept (10 mg/kg or 2 mg/kg). To determine the mechanism of action of abatacept, we analyzed changes in the serum levels of inflammatory biomarkers in the patients enrolled in this trial.Following 12 months' treatment, serum levels of interleukin 6 (IL-6), soluble IL-2 receptor, C-reactive protein, soluble E-selectin, and soluble intercellular adhesion molecule-1 were significantly lower in patients receiving abatacept 10 mg/kg versus placebo. Smaller reductions in tumor necrosis factor-a and rheumatoid factor were also observed in the abatacept 10 mg/kg group compared with the placebo group. Although there was no evidence for efficacy of the 2 mg/kg dose, small reductions in inflammatory biomarkers at this dosage support the biologic effect of this therapy.These findings reveal the antiinflammatory and immunomodulatory effects of abatacept in patients with RA, and are consistent with the concept that modulating T cell activation improves clinical signs and symptoms and inhibits the progression of structural damage. These data suggest that selective modulation of the CD80/CD86:CD28 pathway with abatacept may affect several inflammatory cell types and cytokines that are involved in the proinflammatory cascade.",0
https://doi.org/10.2174/138955709788452568,Antibody-Based Therapies in Systemic Lupus Erythematosus,"Systemic lupus erythematosus (SLE) is a chronic autoimmune disorder that is characterized by pathologic manifestations in multiple organs and elevated morbidity. Traditional management of SLE has included the use of nonsteroidal anti-inflammatory drugs, anti-malarials and immunosuppressive drugs such glucocorticoids, azathioprine, cyclophosphamide, and mycophenolate mofetil. Although many of these therapies have shown great efficacy, they often associate with adverse effects, due to their systemic activity. The development of safer therapies for SLE has led to recent emphasis on targeting selected pathways that can be important in the inflammatory response in SLE. In this context, the use of biological agents such as monoclonal antibodies has seen a rapidly increasing progress, and is poised to be some part of the clinical practice for SLE in a near future. This review provides an update on the ongoing clinical trials and the promise and obstacles in the use of biologics in SLE.",0
,Effects of adalimumab administration in bio-naïve and bio-switch rheumatoid arthritis patients in daily clinical practice : two-year results from single center.,"To investigate the impact of adalimumab on the biologic-naive (bio-naïve) and bio-switch rheumatoid arthritis (RA) patients, and to clarify the appropriate indications for adalimumab treatment.The retention rate, efficacy and safety of adalimumab in twenty-one RA patients were analyzed. Fourteen of the patients were bio-naive and seven were bio-switched from other biologics. Concomitant methotrexate was used in 85% of the bio-naive and 71% of the bio-switch patients. The radiographic findings before and after the 1 year and the two years treatment were also surveyed.In the bio-naive group, 63% of patients continued adalimumab for 2 years, and remission was achieved in approximately 50% of patients. The mean 28-joint Disease Activity Scores improved from 5.2 to 2.6. Radiographically, the joint damage did not progress in either erosions or joint space narrowing. In the bio-switch group, the retention rate was 29%, and only patients who were switched from infliximab showed responses to the treatment. Herpes zoster requiring hospitalization occurred in two cases and injection site reactions were noted in other two cases.Adalimumab combined with methotrexate would be a useful first choice biologic regimen in bio-naïve RA patients. As a second biologic, adalimumab could be useful only when treatments are switched from infliximab.",0
https://doi.org/10.1002/art.10988,Increased perivascular synovial membrane expression of myeloid-related proteins in psoriatic arthritis,"To analyze S-100 protein expression, in the form of myeloid-related protein 8 (MRP8), MRP14, and the heterodimer MRP8/MRP14, in psoriatic arthritis (PsA) patients compared with rheumatoid arthritis (RA) and spondylarthropathy (SpA) patients, and to determine the effect of methotrexate (MTX) on the MRP antigen expression in PsA patients.Serum, synovial fluid (SF), and synovium (taken at arthroscopy) samples were obtained from PsA (before and after MTX treatment), RA, and SpA patients. Concentrations of MRP8/MRP14 in serum and SF were measured by enzyme-linked immunosorbent assay. Expression of MRP8, MRP14, and MRP8/MRP14 in synovium was determined by immunohistochemistry.MRP8, MRP14, and MRP8/MRP14 levels were increased in serum, SF, and synovium from PsA, RA, and SpA patients. In all 3 groups, paired samples of serum and SF showed significantly higher MRP8/MRP14 levels in SF (mean +/- SD 15310 +/- 16999 ng/ml [median 11400]) than in serum (908 +/- 679 ng/ml [median 695]) (P = 0.0001). MRP8/MRP14 levels in serum correlated with systemic parameters of disease activity (erythrocyte sedimentation rate [ESR] r = 0.55, P = 0.005; C-reactive protein [CRP] level r = 0.55, P = 0.005), whereas levels in SF correlated with local parameters of disease activity (white blood cell count r = 0.45, P = 0.01; acute-phase serum amyloid A level r = 0.32, P = 0.03). MRP expression was significantly higher in the synovial sublining layer (SLL) of PsA patients compared with RA and SpA patients. MRP antigens were predominantly expressed in perivascular areas of the SLL in PsA patients. Following MTX treatment, MRP expression in serum and synovium from PsA patients was significantly reduced. Serum levels of MRP were more sensitive to the effects of MTX than were the ESR, CRP, or clinical joint scores.MRP levels in serum and SF correlate with local and systemic inflammation and are equally increased in PsA, RA, and SpA patients. In contrast, MRP8, MRP14, and MRP8/MRP14 expression in the SLL of PsA patients is increased, particularly in perivascular regions, compared with that in RA and SpA patients, suggesting a central role of MRP proteins in transendothelial migration of leukocytes in PsA. Moreover, MRP expression is reduced following MTX treatment. MRP proteins may represent a novel therapeutic target in inflammatory arthritis.",0
