doi,title,abstract,label_included
https://doi.org/10.1016/s0015-0282(03)00613-7,"Laparoscopic uterosacral ligament resection for dysmenorrhea associated with endometriosis: results of a randomized, controlled trial","To evaluate the efficacy of laparoscopic resection of the uterosacral ligaments in women with endometriosis and predominantly midline dysmenorrhea.Randomized controlled trial.Two academic departments. One hundred eighty patients undergoing operative laparoscopy as first-line therapy for stage I to IV symptomatic endometriosis.Operative laparoscopy including uterosacral ligament resection or conservative surgery alone.Proportion of women with recurrence of moderate or severe dysmenorrhea 1 year after surgery.No complications occurred. Among the patients who were evaluable 1 year after operative laparoscopy, 23 of 78 (29%) women who had uterosacral ligament resection and 21 of 78 (27%) women who had conservative surgery only reported recurrent dysmenorrhea. The corresponding numbers of patients at 3 years were 21 of 59 (36%) women and 18 of 57 (32%) women, respectively. Time to recurrence was similar in the two groups. Pain was substantially reduced, and patients in both groups experienced similar and significant improvements in health-related quality of life, psychiatric profile, and sexual satisfaction. Overall, 68 of 90 (75%) patients in the uterosacral ligament resection group and 67 of 90 (74%) patients in the conservative surgery group were satisfied at 1 year.Addition of uterosacral ligament resection to conservative laparoscopic surgery for endometriosis did not reduce the medium- or long-term frequency and severity of recurrence of dysmenorrhea.",0
https://doi.org/10.4085/1062-6050-43.1.14,The Combined Tool Approach for Face Mask Removal During On-field Conditions,"Abstract Context: An effective approach to emergency removal of the face mask (FM) from a football helmet should include successful removal of the FM and limitation of both the time required and the movement created during the process. Current recommendations and practice are to use a cutting tool to remove the FM. Researchers recently have suggested an alternate approach that combines the use of a cordless screwdriver and a cutting tool. This combined tool approach has not been studied, and FM removal has not been studied in a practical setting. Objective: To investigate the effectiveness and speed of using a combined tool approach to remove the FMs from football helmets during on-field conditions throughout the course of a football season. Design: Randomized multigroup design. Setting: Practice field of 1 National Collegiate Athletic Association Division II football college. Patients or Other Participants: Eighty-four members of 1 football team. Intervention(s): We used a battery-operated screwdriver for FM removal and resorted to using a cutting tool as needed. Main Outcome Measure(s): We tracked FM removal success and failure and trial time and compared results based on helmet characteristics, weather variables, and the seasonal timing of the removal trial. Results: Of the 84 players, 76 were available for data-collection trials. Overall, 98.6% (75/76) of FM removal trials were successful and resulted in a mean removal time of 40.09 ± 15.1 seconds. We found no differences in FM removal time throughout the course of the season. No differences in effectiveness or trial time were found among helmet characteristics, weather variables, or the timing of the trial. Conclusions: Combining the cordless screwdriver and cutting tool provided a fast and reliable means of on-field FM removal in this Division II setting. Despite the excellent overall result, 1 FM was not removed in a timely manner. Therefore, we recommend that athletic trainers practice helmet removal to be prepared should FM removal fail.",0
,Comparative study: efficacy of closed-looptarget controlled infusion of cisatracurium and other administration methods for spinal surgery of elderly patients.,"To observe the efficacy of traditional administration, continuous pump injection, and closed-loop target controlled infusion of cisatracurium to determine the optimal method of drug administration, and to establish the individualized and rational administration of muscle relaxants in elderly patients.A total of 150 patients who underwent spinal surgery under tracheal intubation general anesthesia in our hospital from August 2013 to April 2015 were selected. All patients were administered with general anesthesia and randomly divided into three groups: group A (n = 50) was treated under closed-loop target controlled infusion (CLTCI), group B (n = 50) was treated under muscle relaxation monitoring, and group C (n = 50) was treated under continuous pump injection. Hemodynamic changes and blood oxygen saturation of the three groups were observed, and the muscle relaxation recovery, dosage, and bleeding of the three groups were compared.MAP and HR of group A were significantly lower than those of group B and group C (p < 0.05). There were no cases of insufficient muscle relaxation in group A, five cases in group C, and 14 cases in group B, and the differences between any two groups were statistically significant (p < 0.05). Regarding muscle relaxation recovery, the time (T¬¬1) of recovery from 10%-25% and 25%-75%, and the time from drug withdrawal to recovery to TOFr from 0.7-0.9 of group A were the shortest, followed by group C and group B. The differences between any two groups were statistically significant (p < 0.05). The total dosage of cisatracurium of group A was the least, followed by group C and group B, and differences between any two groups were statistically significant (p < 0.05). Moreover, the bleeding volume of group A (235.2 ± 141.3 ml) was smaller than in group B (353.1 ± 173.8 ml) and group C (316.5 ± 155.2 ml), and differences between the three groups were statistically significant (p < 0.05).For spinal surgery of elderly patients, closed-loop target controlled infusion of cisatracurium was superior to continuous infusion and intravenous injection. The time of muscle relaxation recovery was shortened, the dosage of cisatracurium was reduced, and the number of cases of insufficient muscle relaxation was reduced.",0
,Comparison of alendronate and pamidronate on bone loss in kidney transplant patients for the first 6 months of transplantation.,"Osteoporosis develops and progresses in a considerable number of kidney transplant patients. Bisphosphonates, which are used for prevention and treatment of osteoporosis, may accentuate gasterointestinal complications and lead to more nonadherence to treatment. This randomized clinical trial was conducted to compare the effect of pamidronate versus alendronate on early bone mineral density changes in kidney transplant patients.Forty patients (27 men and 13 women), aged from 20 to 58 years, with low bone mineral density (T score < -2) in the spine, total hip, or femur neck were enrolled. Participants were randomly allocated into 2 groups to receive pamidronate or alendronate. The pamidronate group received intravenous pamidronate, 90 mg, starting from the 3rd week of transplantation for 3 months. The alendronate group started to receive oral alendronate, 70 mg per week for the same period. At baseline and 6 months, bone mineral density was measured by dual-energy x-ray absorptiometry. Gastrointestinal side effects were monitored every month.No significant difference was found in bone density changes of the lumber area between the two groups; however, significantly less reduction in bone mineral density of the femur neck and femur occurred in the pamidronate group. Kidney function and parathyroid hormone levels were similar in the two groups before and after the study. Gastrointestinal side effects were seen in 3 patients of the alendronate group only.Pamidronate was comparable to alendronate in prevention of early bone loss after kidney transplantation.",0
https://doi.org/10.2340/16501977-2268,Effectiveness of postoperative home-exercise compared with usual care on kinesiophobia and physical activity in spondylolisthesis: A randomized controlled trial.,"To study the effectiveness of a 12-month exercise therapy on kinesiophobia and physical activity in patients with spondylolisthesis after lumbar spine fusion.Randomized controlled trial.Patients (n = 98) with spondylolisthesis who had undergone lumbar spine fusion.All patients (mean age 59 years) had received lumbar spine fusion surgery and identical postoperative instructions. Three months postoperatively, they were randomized into an exercise group (n = 48) or usual care group (n = 50). The exercise group received 12-month progressive home-based training with regular booster sessions, and the usual care group a single session of physiotherapy instruction. Kinesiophobia was assessed with the Tampa Scale for Kinesiophobia (TSK) and physical activity by the International Physical Activity Questionnaire (IPAQ) preoperatively, 3 months after lumbar spine fusion, and at the end of the 12-month intervention.Before the intervention, the median (first quartile; third quartile) of TSK was 32.5 (29.0; 37.0) in the exercise group and 30.0 (25.8; 36.0) in the usual care group, changing to 30.0 (25; 36) in the exercise group and to 30.5 (24; 36.3) in the usual care group (between-group p = 0.17). IPAQ metabolic equivalent minutes per week increased from 1,863 (1,040; 3,042) to 3,190 (1,634; 6,485) in the exercise group and from 2,569 (1,501; 4,075) to 3,590 (1,634; 6,484) in the usual care group (between-group p = 0.92).Progressive 12-month home-exercise starting 3 months postoperatively was not superior to usual care in decreasing kinesiophobia or increasing physical activity in spondylolisthesis.",0
https://doi.org/10.1186/s12871-016-0277-z,The effect of preoperative dexamethasone on pain 1 year after lumbar disc surgery: a follow-up study,"It has been hypothesized that dexamethasone can inhibit persistent postoperative pain, but data on humans is lacking and results from animal studies are conflicting. We explored the effect of 16 mg dexamethasone IV administered preoperatively on persistent pain 1 year after lumbar discectomy.This is a prospective 1-year follow-up on a single-centre, randomized, and blinded trial exploring the analgesic effect of 16 mg IV dexamethasone or placebo after lumbar discectomy. One year follow-up was a written questionnaire including back and leg pain (VAS 0-100 mm), Short Form 36 survey (SF-36), EuroQol 5D (EQ-5D), OSWESTRY Low Back Pain Questionnaire, duration of sick leave, working capability, contentment with surgical result.Response rate was 71% (55 patients) in the dexamethasone group, 58% (44 patients) in the placebo group. Leg pain (VAS) was significantly lower in the placebo group compared to the dexamethasone group: 17 (95% CI 10-26) vs 26 (95% CI 19-33) mm, respectively (mean difference 9 mm (95% CI -1 to 0), (P = 0.03). No difference regarding back pain. The placebo group reported significantly more improvement of leg pain and were significantly more satisfied with the surgical result. Patients in the dexamethasone group reported significantly higher pain levels in EQ-5D- and Oswestry questionnaires. No difference in the SF-36 survey or daily analgesic consumption.We found significantly higher pain levels in the dexamethasone group compared to placebo 1 year after lumbar disc surgery.Clinicaltrials.gov ( NCT01953978 ). Registered 26 Sep 2013.",0
https://doi.org/10.1007/s00402-007-0518-1,Timing of thoracolomber spine stabilization in trauma patients; impact on neurological outcome and clinical course. A real prospective (rct) randomized controlled study,"OBJECTIVE: Optimal timing of stabilization for spinal injuries is discussed controversially. The goal of this study is to investigate the neurological recovery and its influencing factors in thoracolumbar spine fractures after surgical decompression and stabilization within 8 h of spinal cord injury versus surgery which is performed between 3 and 15 days. METHODS: Twenty-seven patients undergoing thoracolumbar stabilization with neurological deficit for an acute thoracolumbar spinal injury at the level of Th8-L2 vertebra at Selcuk University between March 2004 and December 2006 were recorded. Patients with neurological deficit and medically stable for surgery underwent immediate stabilization within 8 h defined as group I (n = 12) and patients underwent operation in 3-15 days after thoracolumbar injury were defined as group II (n = 15). Patients were assessed for neurologic deficit and improvement as defined by the scoring system of American spinal injury association (ASIA). RESULTS: In spite of comparable demographic data, patients in group I had a significantly shorter overall hospital and intensive care unit stay and had lesser systemic complications such as pneumonia and also exhibited better neurological improvement than group II (p < 0.05). CONCLUSION: Early surgery may improve neurological recovery and decrease hospitalization time and also additional systemic complications in patients with thoracolumbar spinal cord injuries. Thus early stabilization of thoracolumbar spine fractures within 8 h after trauma appears to be favorable.",0
https://doi.org/10.1007/s00586-019-06035-9,The role of non-rigid cervical collar in pain relief and functional restoration after whiplash injury: a systematic review and a pooled analysis of randomized controlled trials,"PurposeWhiplash injury (WI) represents a common diagnosis at every emergency department. Several investigations have been conducted to compare the different medical managements for non-surgical cases. However, the role of the immobilization with a non-rigid cervical collar (nRCC) for pain management and range of motion (RoM) preservation has not been completely clarified. Methods We performed a systematic review of the randomized control trials (RCTs) and a pooled analysis in order to investigate the role of the nRCC for pain management, scored through the visual analogue scale (VAS) and the RoM, by comparing the use of a nRCC (for 1–2 weeks) with a non-immobilization protocols, regardless of the association with physical therapy (PhT). Only patients with whiplash-associated disorders grade I–II were included. Due to a certain heterogeneity across the RCTs, follow-up period time range resetting was necessary in order to pool the data.ResultsA total of 141 papers were reviewed; 6 of them matched the inclusion criteria and were admitted to the final study. Pooled analysis showed that nRCC does not improve the outcome in terms of VAS score and RoM trends along the follow-up. Moreover, VAS and RoM trends seem to further improve at long-term follow-up in non-immobilization associated with PhT group.ConclusionsThis pooled analysis of the available RCTs shows the absence of an advantage of the immobilization protocol with a nRCC after a WI. On the contrary, non-immobilization protocols show an overall better trend of pain relief and neck mobility recovery, regardless of the association of PhT.Graphic abstractThese slides can be retrieved under Electronic Supplementary Material. Open image in new window",0
https://doi.org/10.1186/s12891-019-2695-9,Patients with adolescent idiopathic scoliosis perceive positive improvements regardless of change in the Cobb angle – Results from a randomized controlled trial comparing a 6-month Schroth intervention added to standard care and standard care alone. SOSORT 2018 Award winner,"The Cobb angle is proposed as the ""disease process"" outcome for scoliosis research because therapies aim to correct or stop curve progression. While the Scoliosis Research Society recommends the Cobb angle as the primary outcome, the Society on Scoliosis Orthopaedic and Rehabilitation Treatment prioritises, as a general goal, patient related outcomes over Cobb angle progression.To determine the threshold of change in the Cobb angle in adolescents with idiopathic scoliosis (AIS) who perceive improvement in a 6-months randomized controlled trial comparing a Schroth exercise intervention added to the standard of care to the standard of care alone.This is a secondary analysis of data from a randomized controlled trial of 50 patients with AIS, with curves ranging from 10° to 45°, with or without a brace. Participants with diagnoses other than AIS, surgical candidates or patients who had scoliosis surgery were excluded. The 6-month interventions consisted of Schroth exercises added to standard-of-care (observation or bracing) with daily home exercises and weekly therapy sessions (Schroth) or standard-of-care alone (Control). The anchor method for estimating the minimal important difference (MID) in the largest Cobb angles (LC) was used. Patient-reported change in back status over the 6-month treatment period was measured using the Global Rating of Change (GRC) scale as anchor varying from - 7 (""great deal worse"") to + 7 (""great deal better""). Participants were divided into two groups based on GRC scores: Improved (GRC ≥2) or Stable/Not Improved (GRC ≤1). MID was defined as the change in the LC that most accurately predicted the GRC classification as per the receiver operating characteristic curve (ROC).The average age was 13.4 ± 1.6 years and the average LC was 28.5 ± 8.8 °s. The average GRC in the control group was - 0.1 ± 1.6, compared to + 4.4 ± 2.2 in the Schroth group. The correlation between LC and GRC was adequate (r = - 0.34, p < 0.05). The MID for the LC was 1.0 °. The area under the ROC was 0.69 (0.52-0.86), suggesting a 70% chance to properly classify a patient as perceiving No Improvement/Stable or Improvement based on the change in the LC.Patients undergoing Schroth treatment perceived improved status of their backs even if the Cobb angle did not improve beyond the conventionally accepted threshold of 5°. Standard of care aims to slow/stop progression while Schroth exercises aim to improve postural balance, signs and symptoms of scoliosis. Given the very small MID, perceived improvement in back status is likely due to something other than the Cobb angle. This study warrants investigating alternatives to the Cobb angle that might be more relevant to patients.ClinicalTrials.gov , NCT01610908 . Retrospectively registered on April 2, 2012 (first posted on June 4, 2012 - https://clinicaltrials.gov/ct2/keydates/NCT01610908 ).",0
https://doi.org/10.1016/j.jmpt.2017.02.012,"Neck-Related Physical Function, Self-Efficacy, and Coping Strategies in Patients With Cervical Radiculopathy: A Randomized Clinical Trial of Postoperative Physiotherapy","The purpose of this study was to compare postoperative rehabilitation with structured physiotherapy to the standard approach in patients with cervical radiculopathy (CR) in a prospective randomized study at 6 months follow-up based on measures of neck-related physical function, self-efficacy, and coping strategies.Patients with persistent CR and scheduled for surgery (N = 202) were randomly assigned to structured postoperative physiotherapy or a standard postoperative approach. Structured postoperative physiotherapy combined neck-specific exercises with a behavioral approach. Baseline, 3-month, and 6-month evaluations included questionnaires and clinical examinations. Neck muscle endurance, active cervical range of motion, self-efficacy, pain catastrophizing (CSQ-CAT), perceived control over pain, and ability to decrease pain were analyzed for between-group differences using complete case and per-protocol approaches.No between-group difference was reported at the 6-month follow-up (P = .05-.99), but all outcomes had improved from baseline (P < .001). Patients undergoing structured postoperative physiotherapy with ≥50% attendance at treatment sessions had larger improvements in CSQ-CAT (P = .04) during the rehabilitation period from 3 to 6 months after surgery compared with the patients who received standard postoperative approach.No between-group difference was found at 6 months after surgery based on measures of neck-related physical function, self-efficacy, and coping strategies. However, the results confirm that neck-specific exercises are tolerated by patients with CR after surgery and may suggest a benefit from combining surgery with structured postoperative physiotherapy for patients with CR.",0
