doi,title,abstract,label_included
https://doi.org/10.1111/eth.12704,Does it always pay to defend one's nest? A case study in African penguin,"Throughout the animal kingdom, individual variation in reproductive success is commonly observed, even under similar environmental conditions. However, the mechanisms behind such differences remain unclear. The notion of behavioural consistency in animals has developed rapidly since the early 21st century partly as an approach to understand among-individual differences. In this context, a number of studies have highlighted the influence of pair assortment in personality on breeding success. In this study, we related breeding success to individual behaviour, specifically a risk-taking behaviour, and pair assortment per behaviour in African penguins (Spheniscus demersus) over two breeding seasons of contrasting food availability. On Bird Island, Algoa Bay, South Africa, we used indices of boldness and overall mobility in penguins' nest defence behaviour as a response to a standard pedestrian approach during chick-rearing. These behaviours were consistent over the trials and indicated these traits may be related to personality in African penguins. Individuals were categorized as risk-prone (bold, mobile) or risk-averse (shy, non-mobile). We then assessed their breeding success through chick growth and survival over 4weeks in 2015 and 2016. There was weak positive assortment of pairs in relation to nest defence behaviour. However, pair assortment did not significantly influence birds' breeding success. Shy penguins were generally the most successful (had the highest chick growth rates), which was especially apparent during a food shortage in 2016, possibly reflecting a higher energy investment when foraging. In contrast, chicks from bold parents grew significantly slower, especially in 2016. Bold parents may defend their nest successfully against predation or intra-specific aggression when food is abundant, but when predation risks are limited and food availability is low, this strategy may not be beneficial. In the context of climate change, where food shortage events may become more frequent, risk-averse individuals may be favoured and genetic diversity may be reduced in African penguins.",0
https://doi.org/10.1017/s0031182015000542,Host demographic predicts ectoparasite dynamics for a colonial host during pre-hibernation mating,"Parasite dynamics can be mediated by host behaviours such as sociality, and seasonal changes in aggregation may influence risk of parasite exposure. We used little brown bats (Myotis lucifugus) captured during the autumn mating/swarming period to test the hypothesis that seasonal and demographic-based variation in sociality affect ectoparasitism. We predicted that ectoparasitism would: (1) be higher for adult females and young of the year (YOY) than adult males because of female coloniality; (2) increase for adult males throughout swarming because of increasing contact with females; (3) decrease for adult females and YOY throughout swarming because of reduced coloniality and transmission of individual ectoparasites to males; (4) be similar for male and female YOY because vertical transmission from adult females should be similar. Ectoparasitism was lowest for adult males and increased for males during swarming, but some effects of demographic were unexpected. Contrary to our prediction, ectoparasitism increased for adult females throughout swarming and YOY males also hosted fewer ectoparasites compared with adult and YOY females. Interestingly, females in the best body condition had the highest parasite loads. Our results suggest that host energetic constraints associated with future reproduction affect pre-hibernation parasite dynamics in bats.",0
https://doi.org/10.1007/s10750-009-9902-x,Extreme boldness precedes starvation mortality in six-lined trumpeter (Pelates sexlineatus),"Fishes are often subjected to seasonal and spatial patchiness of food sources. We tested how risk-taking behaviour in the six-lined trumpeter, an estuarine seagrass resident fish, changed with hunger level in a laboratory experiment. When repeatedly offered a risky source of food, well-fed fish did not approach it and all fish survived over a one-month trial. In contrast, fish deprived of all food boldly first approached the risky food source after only a few days without food in some cases, or after many days in other cases, and then continued to approach risky food each time it was presented. Larger individuals were more bold (and had longer starvation endurance) than smaller ones, and after statistically controlling for these size effects, there were consistent individual differences in the propensity to take risks (i.e. boldness). These results show that food-and individual-dependent boldness will together affect vulnerability to predators and influence predation rates when resources become scarce.",0
https://doi.org/10.1016/j.anbehav.2018.04.023,Who dares does not always win: risk-averse rockpool prawns are better at controlling a limited food resource,"Animal ‘personality’, the phenomenon of consistent individual differences in behaviour within populations, has been documented widely, yet its functional significance and the reasons for its persistence remain unclear. One possibility is that among-individual behavioural variation is linked to fitness-determining traits via effects on resource acquisition. In this study, we tested this idea, using rockpool prawns, Palaemon elegans, to test for a correlation between ‘high-risk exploration’ and the ability to monopolize a limited resource. Modified open field trials (OFTs) confirmed that consistent among-individual (co)variation in high-risk exploratory behaviours does exist in this species, and multivariate analysis showed trait variation is consistent with a major axis of personality variation. Subsequent feeding trials in size-matched groups where competition was possible revealed a high repeatability of feeding duration, used here as a proxy for RHP (resource-holding potential). We found significant negative correlations between feeding duration and two ‘risky’ behaviours, such that individuals that took fewer risks fed more. Our results are not consistent with the widely hypothesized idea of a ‘proactive syndrome’ in which bolder, risk-taking personalities are positively associated with RHP. Rather they suggest the possibility of a trade-off, with some individuals successful at monopolizing limited, high-value resources, while others are more willing to engage in potentially risky exploration (which may increase the likelihood of encountering novel resource patches). We speculate that alternative strategies for acquiring limited resources might thereby contribute to the maintenance of personality variation observed in wild populations.",0
https://doi.org/10.1016/j.beproc.2015.01.012,Seed removal by scatter-hoarding rodents: The effects of tannin and nutrient concentration,"The mutualistic interaction between scatter-hoarding rodents and seed plants have a long co-evolutionary history. Plants are believed to have evolved traits that influence the foraging behavior of rodents, thus increasing the probability of seed removal and caching, which benefits the establishment of seedlings. Tannin and nutrient content in seeds are considered among the most essential factors in this plant-animal interaction. However, most previous studies used different species of plant seeds, rendering it difficult to tease apart the relative effect of each single nutrient on rodent foraging behavior due to confounding combinations of nutrient contents across seed species. Hence, to further explore how tannin and different nutritional traits of seed affect scatter-hoarding rodent foraging preferences, we manipulated tannin, fat, protein and starch content levels, and also seed size levels by using an artificial seed system. Our results showed that both tannin and various nutrients significantly affected rodent foraging preferences, but were also strongly affected by seed size. In general, rodents preferred to remove seeds with less tannin. Fat addition could counteract the negative effect of tannin on seed removal by rodents, while the effect of protein addition was weaker. Starch by itself had no effect, but it interacted with tannin in a complex way. Our findings shed light on the effects of tannin and nutrient content on seed removal by scatter-hoarding rodents. We therefore, believe that these and perhaps other seed traits should interactively influence this important plant-rodent interaction. However, how selection operates on seed traits to counterbalance these competing interests/factors merits further study.",0
https://doi.org/10.1002/ajp.20730,Vigilance in ursine black and white colobus monkeys (<i>Colobus vellerosus</i>): an examination of the effects of conspecific threat and predation,"Vigilance is thought to have evolved as an antipredator defense but, in primates, conspecific threat often better explains this behavior. We examined vigilance in one group of Colobus vellerosus inhabiting the Boabeng-Fiema Monkey Sanctuary in Ghana. We aimed to (1) describe factors affecting vigilance in this population, and (2) examine the importance of predation avoidance and conspecific threat in explaining vigilance patterns. Because of a male takeover preceding the study, our focal group (B2) consisted of six adult males and three adult females. We collected 490 10-min focal samples (82 hr) from all adults in the group (N=9) from July to November, 2001. To avoid predators, individuals should be more vigilant (i) with fewer neighbors, and (ii) in areas of the canopy with higher predation risks. Conspecific threats can be divided into extra- and intra-group threats. Extra-group threats should lead to higher vigilance levels (iii) during intergroup encounters, and (iv) in areas where the home range overlaps with other groups of colobus. Intra-group threats should lead to greater vigilance (v) in the presence of neighbors and (vi) while feeding or occupying food patches (if resources are limiting). Our results best support the hypothesis that vigilance functions primarily to detect extra-group, conspecific threats. Individuals were most vigilant during intergroup encounters and in areas of range overlap, and monthly vigilance rates were associated with monthly encounter rates. Individuals tended to scan less in proximity to familiar vs. unfamiliar group mates, suggesting that relationship quality may affect colobus vigilance. Finally, predation pressures or anthropogenic disturbances might have influenced vigilance, as individuals were more vigilant low in the canopy. However, this last result could also be due to the lower visibility because of dense foliage or to the fact that the monkeys have access to fewer escape routes when ranging lower in the canopy. Am. J. Primatol. 71:919–927, 2009. © 2009 Wiley-Liss, Inc.",0
https://doi.org/10.3389/fnmol.2017.00129,Nutritional Ketosis Affects Metabolism and Behavior in Sprague-Dawley Rats in Both Control and Chronic Stress Environments,"Nutritional ketosis may enhance cerebral energy metabolism and has received increased interest as a way to improve or preserve performance and resilience. Most studies to date have focused on metabolic or neurological disorders while anecdotal evidence suggests that ketosis may enhance performance in the absence of underlying dysfunction. Moreover, decreased availability of glucose in the brain following stressful events is associated with impaired cognition, suggesting the need for more efficient energy sources. We tested the hypotheses that ketosis induced by endogenous or exogenous ketones could: (a) augment cognitive outcomes in healthy subjects; and (b) prevent stress-induced detriments in cognitive parameters. Adult, male, Sprague Dawley rats were used to investigate metabolic and behavioral outcomes in 3 dietary conditions: ketogenic (KD), ketone supplemented (KS), or NIH-31 control diet in both control or chronic stress conditions. Acute administration of exogenous ketones resulted in reduction in blood glucose and sustained ketosis. Chronic experiments showed that in control conditions, only KD resulted in pronounced metabolic alterations and improved performance in the novel object recognition test. The hypothalamic-pituitary-adrenal (HPA) axis response revealed that KD-fed rats maintained peripheral ketosis despite increases in glucose whereas no diet effects were observed in ACTH or CORT levels. Both KD and KS-fed rats decreased escape latencies on the third day of water maze, whereas only KD prevented stress-induced deficits on the last testing day and improved probe test performance. Stress-induced decrease in hippocampal levels of β-hydroxybutyrate was attenuated in KD group while both KD and KS prevented stress effects on BDNF levels. Mitochondrial enzymes associated with ketogenesis were increased in both KD and KS hippocampal samples and both endothelial and neuronal glucose transporters were affected by stress but only in the control diet group. Our results highlight the complex relationship between peripheral metabolism, behavioral performance and biochemical changes in the hippocampus. Endogenous ketosis improved behavioral and metabolic parameters associated with energy metabolism and cognition while ketone supplementation replicated the biochemical effects within the hippocampus but only showed modest effects on behavioral improvements.",0
https://doi.org/10.1111/j.1365-2656.2005.00971.x,Habitat-specific normal and reverse diel vertical migration in the plankton-feeding basking shark,"Summary 1. Megaplanktivores such as filter-feeding sharks and baleen whales are at the apex of a short food chain (phytoplankton‐zooplankton‐vertebrate) and are sensitive indicators of sea-surface plankton availability. Even though they spend the majority of their time below the surface it is still not known how most of these species utilize vertical habitat and adapt to short-term changes in food availability. 2. A key factor likely to control vertical habitat selection by planktivorous sharks is the diel vertical migration (DVM) of zooplankton; however, no study has determined whether specific ocean-habitat type influences their behavioural strategy. Based on the first high-resolution dive data collected for a plankton-feeding fish species we show that DVM patterns of the basking shark Cetorhinus maximus reflect habitat type and zooplankton behaviour. 3. In deep, well-stratified waters sharks exhibited normal DVM (dusk ascent‐dawn descent) by tracking migrating sound-scattering layers characterized by Calanus and euphausiids. Sharks occupying shallow, inner-shelf areas near thermal fronts conducted reverse DVM (dusk descent‐dawn ascent) possibly due to zooplankton predator‐prey interactions that resulted in reverse DVM of Calanus . 4. These opposite DVM patterns resulted in the probability of daytime-surface sighting differing between these habitats by as much as two orders of magnitude. Ship-borne surveys undertaken at the same time as trackings reflected these behavioural differences. 5. The tendency of basking sharks to feed or rest for long periods at the surface has made them vulnerable to harpoon fisheries. Ship-borne and aerial surveys also use surface occurrence to assess distribution and abundance for conservation purposes. Our study indicates that without bias reduction for habitat-specific DVM patterns, current surveys could under- or overestimate shark abundance by at least 10-fold.",0
https://doi.org/10.1002/oby.20616,Chronic sleep fragmentation promotes obesity in young adult mice,"Short sleep confers a higher risk of obesity in humans. Restricted sleep increases appetite, promotes higher calorie intake from fat and carbohydrate sources, and induces insulin resistance. However, the effects of fragmented sleep (SF), such as occurs in sleep apnea, on body weight, metabolic rates, and adipose tissue distribution are unknown.C57BL/6 mice were exposed to SF for 8 weeks. Their body weight, food consumption, and metabolic expenditure were monitored over time, and their plasma leptin levels measured after exposure to SF for 1 day as well as for 2 weeks. In addition, adipose tissue distribution was assessed at the end of the SF exposure using MRI techniques.Chronic SF-induced obesogenic behaviors and increased weight gain in mice by promoting increased caloric intake without changing caloric expenditure. Plasma leptin levels initially decreased and subsequently increased. Furthermore, increases in both visceral and subcutaneous adipose tissue volumes occurred.These results suggest that SF, a frequent occurrence in many disorders and more specifically in sleep apnea, is a potent inducer of obesity via activation of obesogenic behaviors and possibly leptin resistance, in the absence of global changes in energy expenditure.",0
https://doi.org/10.3391/ai.2012.7.4.011,"Dietary flexibility despite behavioral stereotypy contributes to successful invasion of the pike killifish, Belonesox belizanus, in Florida, USA","It is well known that the establishment of invasive-fish populations depends on the ability of introduced individuals to adapt to environmental conditions in the invaded ecosystem, including the ability to feed on diverse, locally available prey resources. Furthermore, the current invasive-biology paradigm postulates that having a generalist-food habit is key to the successful invasion of a novel community by exotic species. This study investigated how the invasive pike killifish, Belonesox belizanus, has succeeded in establishing exotic populations in Florida, USA despite having a feeding apparatus that is characteristic of a specialized piscivore (i.e., fish-eating fish). Pike killifish collected from their point of introduction in south Florida were (1) filmed using high speed video while feeding on live fishand shrimp-prey to determine whether prey type affects prey-capture kinematics and then (2) subjected to a prey-selectivity experiment to determine which prey type (live fish or shrimp) the invasive pike killifish eats when both prey are available in the environment. Results indicated that (1) prey-capture kinematics were not affected by prey type, indicating that consumption of fish and shrimp prey was accomplished using a stereotypical feeding repertoire, and (2) pike killifish consumed fish and shrimp when both prey were available in the feeding environment. It is concluded that the invasive pike killifish has the ability to feed on alternative, locally available prey using its piscivorous feeding functional morphology and prey-capture kinematics. This study contributes a new perspective to our understanding of the mechanisms that underlie success of exotic fishes in invaded communities. That is, the ability of a functional-morphological specialist to utilize stereotypical prey-capture kinematics (= behavior) in consuming alternative, locally available prey types (= dietary flexibility) contributes to the establishment of invasive populations. It is evident that these functional specialists are not constrained in their diet, thus, enabling them dietary flexibility and enhancing their invasive potential.",0
